Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1706,1962.0,Wilt Chamberlain*,C,25.0,PHW,80.0,,3882.0,31.7,0.536,,0.431,,,,,,,,,,17.1,6.0,23.1,0.286,,,,,,1597.0,3159.0,0.506,,,,1597.0,3159.0,0.506,0.506,835.0,1363.0,0.613,,,2052.0,192.0,,,,123.0,4029.0
1827,1963.0,Wilt Chamberlain*,C,26.0,SFW,80.0,,3806.0,31.8,0.55,,0.402,,,,,,,,,,16.0,5.0,20.9,0.264,,,,,,1463.0,2770.0,0.528,,,,1463.0,2770.0,0.528,0.528,660.0,1113.0,0.593,,,1946.0,275.0,,,,136.0,3586.0
8469,1987.0,Michael Jordan*,SG,23.0,CHI,82.0,82.0,3281.0,29.8,0.562,0.029,0.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,,11.9,5.0,16.9,0.247,,8.0,0.6,8.6,8.8,1098.0,2279.0,0.482,12.0,66.0,0.182,1086.0,2213.0,0.491,0.484,833.0,972.0,0.857,166.0,264.0,430.0,377.0,236.0,125.0,272.0,237.0,3041.0
1593,1961.0,Wilt Chamberlain*,C,24.0,PHW,79.0,,3773.0,27.8,0.519,,0.429,,,,,,,,,,12.3,6.5,18.8,0.24,,,,,,1251.0,2457.0,0.509,,,,1251.0,2457.0,0.509,0.509,531.0,1054.0,0.504,,,2149.0,148.0,,,,130.0,3033.0
1962,1964.0,Wilt Chamberlain*,C,27.0,SFW,80.0,,3689.0,31.6,0.537,,0.442,,,,,,,,,,14.4,10.6,25.0,0.325,,,,,,1204.0,2298.0,0.524,,,,1204.0,2298.0,0.524,0.524,540.0,1016.0,0.531,,,1787.0,403.0,,,,182.0,2948.0
8869,1988.0,Michael Jordan*,SG,24.0,CHI,82.0,82.0,3311.0,31.7,0.603,0.027,0.43,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,,15.2,6.1,21.2,0.308,,9.8,2.3,12.2,11.8,1069.0,1998.0,0.535,7.0,53.0,0.132,1062.0,1945.0,0.546,0.537,723.0,860.0,0.841,139.0,310.0,449.0,485.0,259.0,131.0,252.0,270.0,2868.0
17742,2006.0,Kobe Bryant,SG,27.0,LAL,80.0,80.0,3277.0,28.0,0.559,0.238,0.377,2.6,12.7,7.6,24.1,2.4,0.7,9.0,38.7,,11.6,3.7,15.3,0.224,,7.3,-1.5,5.8,6.5,978.0,2173.0,0.45,180.0,518.0,0.347,798.0,1655.0,0.482,0.491,696.0,819.0,0.85,71.0,354.0,425.0,360.0,147.0,30.0,250.0,233.0,2832.0
4255,1975.0,Bob McAdoo*,C,23.0,BUF,82.0,,3539.0,25.8,0.569,,0.372,9.2,23.5,16.6,8.6,1.2,2.4,,,,12.7,5.1,17.8,0.242,,5.5,-0.7,4.7,6.0,1095.0,2138.0,0.512,,,,1095.0,2138.0,0.512,0.512,641.0,796.0,0.805,307.0,848.0,1155.0,179.0,92.0,174.0,,278.0,2831.0
3316,1972.0,Kareem Abdul-Jabbar*,C,24.0,MIL,81.0,,3583.0,29.9,0.603,,0.363,,,18.1,16.1,,,,,,18.3,7.1,25.4,0.34,,,,,,1159.0,2019.0,0.574,,,,1159.0,2019.0,0.574,0.574,504.0,732.0,0.689,,,1346.0,370.0,,,,235.0,2822.0
2355,1967.0,Rick Barry*,SF,22.0,SFW,78.0,,3175.0,24.2,0.531,,0.38,,,,13.6,,,,,,10.1,4.3,14.4,0.218,,,,,,1011.0,2240.0,0.451,,,,1011.0,2240.0,0.451,0.451,753.0,852.0,0.884,,,714.0,282.0,,,,258.0,2775.0
